Participant_ID,Series,Period,Lower,Upper,Condition
75ca40f9-db81-42d0-9e21-f3ba3920765e,13,49.0,81.4379605191166,114.827226430423,95_interval
75ca40f9-db81-42d0-9e21-f3ba3920765e,13,50.0,81.4379604355342,114.827226514006,95_interval
75ca40f9-db81-42d0-9e21-f3ba3920765e,13,51.0,81.4379603519518,114.827226597588,95_interval
75ca40f9-db81-42d0-9e21-f3ba3920765e,13,52.0,81.4379602683694,114.82722668117,95_interval
75ca40f9-db81-42d0-9e21-f3ba3920765e,7,49.0,124.555116317408,147.557864764148,95_interval
75ca40f9-db81-42d0-9e21-f3ba3920765e,7,50.0,113.769698761424,134.800115112395,95_interval
75ca40f9-db81-42d0-9e21-f3ba3920765e,7,51.0,103.68137004765,122.864677174424,95_interval
75ca40f9-db81-42d0-9e21-f3ba3920765e,7,52.0,115.324316681856,136.681478784364,95_interval
